,ID,sepal length(cm),sepal width(cm),petal length(cm),petal width(cm),class
44,43,4.8,3.0,1.4,0.3,Iris-setosa
45,44,5.1,3.8,1.6,0.2,Iris-setosa
46,45,4.6,3.2,1.4,0.2,Iris-setosa
47,46,5.3,3.7,1.5,0.2,Iris-setosa
48,47,5.0,3.3,1.4,0.2,Iris-setosa
49,48,7.0,3.2,4.7,1.4,Iris-versicolor
50,49,6.4,3.2,4.5,1.5,Iris-versicolor
51,50,6.9,3.1,4.9,1.5,Iris-versicolor
52,51,5.5,2.3,4.0,1.3,Iris-versicolor
53,52,6.5,2.8,4.6,1.5,Iris-versicolor
54,53,5.7,2.8,4.5,1.3,Iris-versicolor
55,54,6.3,3.3,4.7,1.6,Iris-versicolor
56,55,4.9,2.4,3.3,1.0,Iris-versicolor
57,56,6.6,2.9,4.6,1.3,Iris-versicolor
58,57,5.2,2.7,3.9,1.4,Iris-versicolor
59,58,5.0,2.0,3.5,1.0,Iris-versicolor
60,59,5.9,3.0,4.2,1.5,Iris-versicolor
61,60,6.0,2.2,4.0,1.0,Iris-versicolor
62,61,6.1,2.9,4.7,1.4,Iris-versicolor
63,62,5.6,2.9,3.6,1.3,Iris-versicolor
64,63,6.7,3.1,4.4,1.4,Iris-versicolor
65,64,5.6,3.0,4.5,1.5,Iris-versicolor
66,65,5.8,2.7,4.1,1.0,Iris-versicolor
67,66,6.2,2.2,4.5,1.5,Iris-versicolor
68,67,5.6,2.5,3.9,1.1,Iris-versicolor
69,68,5.9,3.2,4.8,1.8,Iris-versicolor
70,69,6.1,2.8,4.0,1.3,Iris-versicolor
71,70,6.3,2.5,4.9,1.5,Iris-versicolor
72,71,6.1,2.8,4.7,1.2,Iris-versicolor
73,72,6.4,2.9,4.3,1.3,Iris-versicolor
74,73,6.6,3.0,4.4,1.4,Iris-versicolor
75,74,6.8,2.8,4.8,1.4,Iris-versicolor
76,75,6.7,3.0,5.0,1.7,Iris-versicolor
77,76,6.0,2.9,4.5,1.5,Iris-versicolor
78,77,5.7,2.6,3.5,1.0,Iris-versicolor
79,78,5.5,2.4,3.8,1.1,Iris-versicolor
80,79,5.5,2.4,3.7,1.0,Iris-versicolor
81,80,5.8,2.7,3.9,1.2,Iris-versicolor
82,81,6.0,2.7,5.1,1.6,Iris-versicolor
83,82,5.4,3.0,4.5,1.5,Iris-versicolor
84,83,6.0,3.4,4.5,1.6,Iris-versicolor
85,84,6.7,3.1,4.7,1.5,Iris-versicolor
86,85,6.3,2.3,4.4,1.3,Iris-versicolor
87,86,5.6,3.0,4.1,1.3,Iris-versicolor
88,87,5.5,2.5,4.0,1.3,Iris-versicolor
89,88,5.5,2.6,4.4,1.2,Iris-versicolor
90,89,6.1,3.0,4.6,1.4,Iris-versicolor
91,90,5.8,2.6,4.0,1.2,Iris-versicolor
92,91,5.0,2.3,3.3,1.0,Iris-versicolor
93,92,5.6,2.7,4.2,1.3,Iris-versicolor
94,93,5.7,3.0,4.2,1.2,Iris-versicolor
95,94,5.7,2.9,4.2,1.3,Iris-versicolor
96,95,6.2,2.9,4.3,1.3,Iris-versicolor
97,96,5.1,2.5,3.0,1.1,Iris-versicolor
98,97,5.7,2.8,4.1,1.3,Iris-versicolor
99,98,6.3,3.3,6.0,2.5,Iris-virginica
100,99,5.8,2.7,5.1,1.9,Iris-virginica
101,100,7.1,3.0,5.9,2.1,Iris-virginica
102,101,6.3,2.9,5.6,1.8,Iris-virginica
103,102,6.5,3.0,5.8,2.2,Iris-virginica
104,103,7.6,3.0,6.6,2.1,Iris-virginica
105,104,4.9,2.5,4.5,1.7,Iris-virginica
106,105,7.3,2.9,6.3,1.8,Iris-virginica
107,106,6.7,2.5,5.8,1.8,Iris-virginica
108,107,7.2,3.6,6.1,2.5,Iris-virginica
109,108,6.5,3.2,5.1,2.0,Iris-virginica
110,109,6.4,2.7,5.3,1.9,Iris-virginica
111,110,6.8,3.0,5.5,2.1,Iris-virginica
112,111,5.7,2.5,5.0,2.0,Iris-virginica
113,112,5.8,2.8,5.1,2.4,Iris-virginica
114,113,6.4,3.2,5.3,2.3,Iris-virginica
115,114,6.5,3.0,5.5,1.8,Iris-virginica
116,115,7.7,3.8,6.7,2.2,Iris-virginica
117,116,7.7,2.6,6.9,2.3,Iris-virginica
118,117,6.0,2.2,5.0,1.5,Iris-virginica
119,118,6.9,3.2,5.7,2.3,Iris-virginica
120,119,5.6,2.8,4.9,2.0,Iris-virginica
121,120,7.7,2.8,6.7,2.0,Iris-virginica
122,121,6.3,2.7,4.9,1.8,Iris-virginica
123,122,6.7,3.3,5.7,2.1,Iris-virginica
124,123,7.2,3.2,6.0,1.8,Iris-virginica
125,124,6.2,2.8,4.8,1.8,Iris-virginica
126,125,6.1,3.0,4.9,1.8,Iris-virginica
127,126,6.4,2.8,5.6,2.1,Iris-virginica
128,127,7.2,3.0,5.8,1.6,Iris-virginica
129,128,7.4,2.8,6.1,1.9,Iris-virginica
130,129,7.9,3.8,6.4,2.0,Iris-virginica
131,130,6.4,2.8,5.6,2.2,Iris-virginica
132,131,6.3,2.8,5.1,1.5,Iris-virginica
133,132,6.1,2.6,5.6,1.4,Iris-virginica
134,133,7.7,3.0,6.1,2.3,Iris-virginica
135,134,6.3,3.4,5.6,2.4,Iris-virginica
136,135,6.4,3.1,5.5,1.8,Iris-virginica
137,136,6.0,3.0,4.8,1.8,Iris-virginica
138,137,6.9,3.1,5.4,2.1,Iris-virginica
139,138,6.7,3.1,5.6,2.4,Iris-virginica
140,139,6.9,3.1,5.1,2.3,Iris-virginica
142,140,6.8,3.2,5.9,2.3,Iris-virginica
143,141,6.7,3.3,5.7,2.5,Iris-virginica
144,142,6.7,3.0,5.2,2.3,Iris-virginica
145,143,6.3,2.5,5.0,1.9,Iris-virginica
146,144,6.5,3.0,5.2,2.0,Iris-virginica
147,145,6.2,3.4,5.4,2.3,Iris-virginica
148,146,5.9,3.0,5.1,1.8,Iris-virginica
