,ID,sepal_length,sepal_width,petal_length,petal_width,class,total_values
35,35,5.0,3.2,1.2,0.2,Iris-setosa,9.6
36,36,5.5,3.5,1.3,0.2,Iris-setosa,10.5
38,37,4.4,3.0,1.3,0.2,Iris-setosa,8.9
39,38,5.1,3.4,1.5,0.2,Iris-setosa,10.2
40,39,5.0,3.5,1.3,0.3,Iris-setosa,10.1
41,40,4.5,2.3,1.3,0.3,Iris-setosa,8.4
42,41,4.4,3.2,1.3,0.2,Iris-setosa,9.1
43,42,5.0,3.5,1.6,0.6,Iris-setosa,10.7
44,43,5.1,3.8,1.9,0.4,Iris-setosa,11.2
45,44,4.8,3.0,1.4,0.3,Iris-setosa,9.5
46,45,5.1,3.8,1.6,0.2,Iris-setosa,10.7
47,46,4.6,3.2,1.4,0.2,Iris-setosa,9.4
48,47,5.3,3.7,1.5,0.2,Iris-setosa,10.7
49,48,5.0,3.3,1.4,0.2,Iris-setosa,9.9
50,49,7.0,3.2,4.7,1.4,Iris-versicolor,16.3
51,50,6.4,3.2,4.5,1.5,Iris-versicolor,15.6
52,51,6.9,3.1,4.9,1.5,Iris-versicolor,16.4
53,52,5.5,2.3,4.0,1.3,Iris-versicolor,13.1
54,53,6.5,2.8,4.6,1.5,Iris-versicolor,15.4
55,54,5.7,2.8,4.5,1.3,Iris-versicolor,14.3
56,55,6.3,3.3,4.7,1.6,Iris-versicolor,15.9
57,56,4.9,2.4,3.3,1.0,Iris-versicolor,11.6
58,57,6.6,2.9,4.6,1.3,Iris-versicolor,15.4
59,58,5.2,2.7,3.9,1.4,Iris-versicolor,13.2
60,59,5.0,2.0,3.5,1.0,Iris-versicolor,11.5
61,60,5.9,3.0,4.2,1.5,Iris-versicolor,14.6
62,61,6.0,2.2,4.0,1.0,Iris-versicolor,13.2
63,62,6.1,2.9,4.7,1.4,Iris-versicolor,15.1
64,63,5.6,2.9,3.6,1.3,Iris-versicolor,13.4
65,64,6.7,3.1,4.4,1.4,Iris-versicolor,15.6
66,65,5.6,3.0,4.5,1.5,Iris-versicolor,14.6
67,66,5.8,2.7,4.1,1.0,Iris-versicolor,13.6
68,67,6.2,2.2,4.5,1.5,Iris-versicolor,14.4
69,68,5.6,2.5,3.9,1.1,Iris-versicolor,13.1
70,69,5.9,3.2,4.8,1.8,Iris-versicolor,15.7
71,70,6.1,2.8,4.0,1.3,Iris-versicolor,14.2
72,71,6.3,2.5,4.9,1.5,Iris-versicolor,15.2
73,72,6.1,2.8,4.7,1.2,Iris-versicolor,14.8
74,73,6.4,2.9,4.3,1.3,Iris-versicolor,14.9
75,74,6.6,3.0,4.4,1.4,Iris-versicolor,15.4
76,75,6.8,2.8,4.8,1.4,Iris-versicolor,15.8
77,76,6.7,3.0,5.0,1.7,Iris-versicolor,16.4
78,77,6.0,2.9,4.5,1.5,Iris-versicolor,14.9
79,78,5.7,2.6,3.5,1.0,Iris-versicolor,12.8
80,79,5.5,2.4,3.8,1.1,Iris-versicolor,12.8
81,80,5.5,2.4,3.7,1.0,Iris-versicolor,12.6
82,81,5.8,2.7,3.9,1.2,Iris-versicolor,13.6
83,82,6.0,2.7,5.1,1.6,Iris-versicolor,15.4
84,83,5.4,3.0,4.5,1.5,Iris-versicolor,14.4
85,84,6.0,3.4,4.5,1.6,Iris-versicolor,15.5
86,85,6.7,3.1,4.7,1.5,Iris-versicolor,16.0
87,86,6.3,2.3,4.4,1.3,Iris-versicolor,14.3
88,87,5.6,3.0,4.1,1.3,Iris-versicolor,14.0
89,88,5.5,2.5,4.0,1.3,Iris-versicolor,13.3
90,89,5.5,2.6,4.4,1.2,Iris-versicolor,13.7
91,90,6.1,3.0,4.6,1.4,Iris-versicolor,15.1
92,91,5.8,2.6,4.0,1.2,Iris-versicolor,13.6
93,92,5.0,2.3,3.3,1.0,Iris-versicolor,11.6
94,93,5.6,2.7,4.2,1.3,Iris-versicolor,13.8
95,94,5.7,3.0,4.2,1.2,Iris-versicolor,14.1
96,95,5.7,2.9,4.2,1.3,Iris-versicolor,14.1
97,96,6.2,2.9,4.3,1.3,Iris-versicolor,14.7
98,97,5.1,2.5,3.0,1.1,Iris-versicolor,11.7
99,98,5.7,2.8,4.1,1.3,Iris-versicolor,13.9
100,99,6.3,3.3,6.0,2.5,Iris-virginica,18.1
101,100,5.8,2.7,5.1,1.9,Iris-virginica,15.5
102,101,7.1,3.0,5.9,2.1,Iris-virginica,18.1
103,102,6.3,2.9,5.6,1.8,Iris-virginica,16.6
104,103,6.5,3.0,5.8,2.2,Iris-virginica,17.5
105,104,7.6,3.0,6.6,2.1,Iris-virginica,19.3
106,105,4.9,2.5,4.5,1.7,Iris-virginica,13.6
107,106,7.3,2.9,6.3,1.8,Iris-virginica,18.3
108,107,6.7,2.5,5.8,1.8,Iris-virginica,16.8
109,108,7.2,3.6,6.1,2.5,Iris-virginica,19.4
110,109,6.5,3.2,5.1,2.0,Iris-virginica,16.8
111,110,6.4,2.7,5.3,1.9,Iris-virginica,16.3
112,111,6.8,3.0,5.5,2.1,Iris-virginica,17.4
113,112,5.7,2.5,5.0,2.0,Iris-virginica,15.2
114,113,5.8,2.8,5.1,2.4,Iris-virginica,16.1
115,114,6.4,3.2,5.3,2.3,Iris-virginica,17.2
116,115,6.5,3.0,5.5,1.8,Iris-virginica,16.8
117,116,7.7,3.8,6.7,2.2,Iris-virginica,20.4
118,117,7.7,2.6,6.9,2.3,Iris-virginica,19.5
119,118,6.0,2.2,5.0,1.5,Iris-virginica,14.7
120,119,6.9,3.2,5.7,2.3,Iris-virginica,18.1
121,120,5.6,2.8,4.9,2.0,Iris-virginica,15.3
122,121,7.7,2.8,6.7,2.0,Iris-virginica,19.2
123,122,6.3,2.7,4.9,1.8,Iris-virginica,15.7
124,123,6.7,3.3,5.7,2.1,Iris-virginica,17.8
125,124,7.2,3.2,6.0,1.8,Iris-virginica,18.2
126,125,6.2,2.8,4.8,1.8,Iris-virginica,15.6
127,126,6.1,3.0,4.9,1.8,Iris-virginica,15.8
128,127,6.4,2.8,5.6,2.1,Iris-virginica,16.9
129,128,7.2,3.0,5.8,1.6,Iris-virginica,17.6
130,129,7.4,2.8,6.1,1.9,Iris-virginica,18.2
131,130,7.9,3.8,6.4,2.0,Iris-virginica,20.1
132,131,6.4,2.8,5.6,2.2,Iris-virginica,17.0
133,132,6.3,2.8,5.1,1.5,Iris-virginica,15.7
134,133,6.1,2.6,5.6,1.4,Iris-virginica,15.7
135,134,7.7,3.0,6.1,2.3,Iris-virginica,19.1
136,135,6.3,3.4,5.6,2.4,Iris-virginica,17.7
137,136,6.4,3.1,5.5,1.8,Iris-virginica,16.8
138,137,6.0,3.0,4.8,1.8,Iris-virginica,15.6
139,138,6.9,3.1,5.4,2.1,Iris-virginica,17.5
140,139,6.7,3.1,5.6,2.4,Iris-virginica,17.8
141,140,6.9,3.1,5.1,2.3,Iris-virginica,17.4
143,141,6.8,3.2,5.9,2.3,Iris-virginica,18.2
144,142,6.7,3.3,5.7,2.5,Iris-virginica,18.2
145,143,6.7,3.0,5.2,2.3,Iris-virginica,17.2
146,144,6.3,2.5,5.0,1.9,Iris-virginica,15.7
147,145,6.5,3.0,5.2,2.0,Iris-virginica,16.7
148,146,6.2,3.4,5.4,2.3,Iris-virginica,17.3
149,147,5.9,3.0,5.1,1.8,Iris-virginica,15.8
